State;Electric (EV);Plug-In Hybrid Electric (PHEV);Hybrid Electric (HEV);Biodiesel;Ethanol/Flex (E85);Compressed Natural Gas (CNG);Propane;Hydrogen;Methanol;Gasoline;Diesel;Unknown Fuel
Alabama;13000;5,8;63300;54,2;441200;100;100;0;0;4102200;127;29
Alaska;2700;900;10600;9,6;46800;0;0;0;0;454300;29,8;5,1
Arizona;89800;25,6;175700;68,6;437100;600;700;0;0;5469000;197,7;64,2
Arkansas;7100;3,2;37000;37;276700;200;0;0;0;2246100;90,7;10,3
California;1256600;410,7;1703200;201,6;1314600;10,1;1,5;16,9;0;31191900;735,3;7,9
Colorado;90100;37,5;152700;68,1;334300;300;100;0;0;4508800;203,4;46,5
Connecticut;31600;18,4;75300;10,9;133600;100;0;0;0;2612600;42,3;20,9
Delaware;8400;3,8;22900;5,1;63900;0;0;0;0;791300;14,2;5,1
District of Columbia;8100;3,7;18100;400;16800;100;0;0;0;262500;1,8;600
Florida;254900;57,3;414500;170,5;1101100;400;100;0;0;16136500;351,8;96,1
Georgia;92400;22,7;175300;92,5;719400;300;200;0;0;8256400;206,3;76,9
Hawaii;25600;7,3;36400;3,4;37300;0;0;0;0;951000;15,4;3,7
Idaho;8500;4,6;43700;45,9;132900;100;100;0;0;1568600;138,6;31,6
Illinois;99600;33,4;285400;61,5;772900;300;0;0;0;8560300;170,2;59,6
Indiana;26100;12,9;119100;56,3;576300;300;0;0;0;5166200;156,4;58,5
Iowa;9000;6,1;57200;41,7;331300;100;0;0;0;2545400;105;57,5
Kansas;11300;5,6;50400;27,9;253500;200;100;0;0;2168600;87,4;16,1
Kentucky;11600;5,6;67100;36,9;361200;300;0;0;0;3415000;117,6;24,4
Louisiana;8200;4;40200;64,2;380100;100;0;0;0;3142800;115,5;19,1
Maine;7400;7,6;33600;12;104500;0;0;0;0;1036100;26,9;7,9
Maryland;72100;31,3;168700;32,1;309300;300;0;0;0;4327800;86,9;31,5
Massachusetts;73800;43,8;187300;21,3;285000;200;0;0;0;4791300;58,4;30
Michigan;50300;29,1;148100;70,4;873700;300;0;0;0;7129600;174,5;49,4
Minnesota;37100;16,1;124500;52,7;516400;100;0;0;0;4219200;127,9;24,5
Mississippi;3600;2;28200;34,9;295200;100;0;0;0;2275600;75,2;8,5
Missouri;26900;13,9;113900;70,4;575500;900;100;0;0;4608600;178,2;37,6
Montana;4600;2,5;21100;37,9;94500;0;0;0;0;780700;69,6;10,8
Nebraska;6900;3,8;32600;28,9;197100;100;0;0;0;1600400;76,1;25,3
Nevada;47400;10,6;69600;27,2;125600;200;100;0;0;2169300;85,8;20,3
New Hampshire;9900;6,6;36800;13,9;89600;100;0;0;0;1185300;29,2;12,3
New Jersey;134800;40,9;174200;27,8;392100;300;0;0;0;6433000;84,6;36,4
New Mexico;10300;4,9;44300;32,1;151600;100;100;0;0;1597600;88,5;22,9
New York;131300;92,3;314000;54,3;591100;400;100;0;0;9905500;150,5;79,1
North Carolina;70200;23,7;210600;80,2;655000;300;100;0;0;7764000;209,7;71,7
North Dakota;1000;800;8200;20,4;89900;0;0;0;0;625300;44,6;7,2
Ohio;50400;24;199800;70,3;833500;700;100;0;0;8881400;196,2;60,9
Oklahoma;22800;33;56400;63,1;352400;1,8;200;0;0;3567500;145,7;45
Oregon;64400;28,8;156900;55,5;184600;100;100;0;0;3074300;217;51
Pennsylvania;70200;38,9;245400;73,9;661700;500;100;0;0;8886400;192,1;41,8
Rhode Island;6400;5,1;22100;3,1;41900;0;0;0;0;782000;11;6
South Carolina;20900;9;83100;44,6;404600;100;100;0;0;4325000;110,1;44,9
South Dakota;1700;1,3;11900;21,5;98800;0;0;0;0;718300;51,2;13,3
Tennessee;33200;11;113300;53,1;509000;200;100;0;0;5620500;160,7;37,7
Texas;230100;55,3;445100;460,7;2315400;1,3;1,3;0;0;21392800;772,8;121,8
Utah;40000;13;83200;68,5;185200;2,2;500;0;0;2499600;158;26
Vermont;7800;5,7;20300;7;36600;0;0;0;0;496000;14,7;5
Virginia;84900;26,8;229400;44,3;484800;300;0;0;0;6670000;152,8;30,2
Washington;152100;41,2;307200;73,8;337700;100;100;0;0;5583000;274,2;46,7
West Virginia;2800;1,8;22400;17,3;123400;100;0;0;0;1281500;46,4;15,2
Wisconsin;24900;12,5;123600;52,9;536200;300;0;0;0;4604700;147,5;26,4
Wyoming;1100;800;8400;21,2;57700;0;0;0;0;489100;60,9;13,7
