state,ev_pct,phev_pct,hev_pct,gasoline_pct
California,3.41,1.11,4.62,84.64
"District of Columbia",2.60,1.19,5.80,84.11
Hawaii,2.37,0.68,3.37,88.05
Washington,2.23,0.60,4.51,81.91
Nevada,1.85,0.41,2.72,84.87
"New Jersey",1.84,0.56,2.38,87.83
Oregon,1.68,0.75,4.09,80.21
Colorado,1.66,0.69,2.81,82.85
Maryland,1.42,0.62,3.33,85.53
Arizona,1.38,0.39,2.69,83.76
Florida,1.37,0.31,2.23,86.83
Massachusetts,1.34,0.80,3.41,87.26
Vermont,1.32,0.96,3.42,83.63
Utah,1.30,0.42,2.70,81.26
"New York",1.16,0.82,2.77,87.52
Virginia,1.10,0.35,2.97,86.36
Connecticut,1.07,0.62,2.56,88.69
Illinois,0.99,0.33,2.84,85.23
Georgia,0.96,0.24,1.82,85.63
Delaware,0.92,0.42,2.50,86.51
Texas,0.89,0.21,1.73,82.93
"North Carolina",0.77,0.26,2.32,85.45
"Rhode Island",0.73,0.58,2.52,89.11
"New Hampshire",0.72,0.48,2.66,85.66
Minnesota,0.72,0.31,2.43,82.43
Pennsylvania,0.69,0.38,2.40,87.03
Maine,0.60,0.61,2.72,83.83
Michigan,0.59,0.34,1.74,83.63
Oklahoma,0.53,0.77,1.32,83.20
"New Mexico",0.53,0.25,2.27,81.83
Tennessee,0.51,0.17,1.73,85.96
Ohio,0.49,0.23,1.94,86.08
Missouri,0.48,0.25,2.02,81.92
Alaska,0.48,0.16,1.89,81.15
Montana,0.45,0.24,2.07,76.41
Wisconsin,0.45,0.23,2.24,83.28
Kansas,0.43,0.21,1.92,82.74
Idaho,0.43,0.23,2.21,79.44
Indiana,0.42,0.21,1.93,83.70
"South Carolina",0.41,0.18,1.65,85.77
Nebraska,0.35,0.19,1.65,81.19
Kentucky,0.29,0.14,1.66,84.54
Iowa,0.29,0.19,1.81,80.72
Alabama,0.27,0.12,1.31,84.83
Arkansas,0.26,0.12,1.37,82.93
Louisiana,0.22,0.11,1.07,83.27
"South Dakota",0.19,0.14,1.30,78.25
"West Virginia",0.19,0.12,1.48,84.82
Wyoming,0.17,0.12,1.29,74.91
"North Dakota",0.13,0.10,1.03,78.42
Mississippi,0.13,0.07,1.04,83.56
